DCTPepD_ID,ClinicalTrials.gov_Identifier,Title,Condition_or_disease,Phase,Purpose
DCTPepD0054,NCT02190279,A Pilot Study of 18F-DCFBC PET/CT in Prostate Cancer,Prostatic Neoplasms; Prostate Cancer,Early Phase 1,Diagnostic
DCTPepD0054,NCT01496157,Evaluation of PSMA-based PET as an Imaging Biomarker of Primary Prostate Cancer,Prostate Cancer,Phase 1/2,Diagnostic
DCTPepD0055,NCT03014076,Phase Ib Trial of Combination Immunotherapy With HER2/Neu Peptide GP2 + GM-CSF Vaccine and Trastuzumab in Breast Cancer Patients,Breast Cancer,Phase 1,Treatment
DCTPepD0055,NCT00524277,Phase II Trial of the HER2/Neu Peptide GP2 + GM-CSF Vaccine vs GM-CSF Alone in HLA-A2+ OR the Modified HER2/Neu Peptide AE37 + GM-CSF Vaccine vs GM-CSF Alone in HLA-A2- Node-Positive and High-Risk Node-Negative Breast Cancer Patients,Breast Cancer,Phase 2,Prevention
DCTPepD0055,NCT05232916,"A Randomized, Multicenter, Placebo-controlled, Phase 3 Study to Evaluate the Efficacy and Safety of HER2/Neu Peptide GLSI-100 (GP2 + GM-CSF) in HER2/Neu Positive Subjects With Residual Disease or High-Risk PCR After Both Neoadjuvant and Postoperative Adjuvant Trastuzumab-based Therapy (FLAMINGO-01)",Breast Cancer,Phase 3,Prevention
DCTPepD0056,NCT00357461,A Randomized Phase II Study of Fixed Dose Ipilimumab (MDX-010) 10 mg/kg Given Alone or in Combination With Two gp100 Peptides Emulsified With Montanide ISA-51 VG for Previously Treated HLA-A * 0201 Positive Subjects With Stage IV Melanoma,Melanoma (Skin),Phase 1,Treatment
DCTPepD0056,NCT01176461,A Pilot Trial of a Vaccine Combining Multiple Class I Peptides and Montanide ISA 51 VG With Escalating Doses of Anti-PD-1 Antibody BMS-936558 for Patients With Unresectable Stages III/IV Melanoma,Melanoma (Skin),Phase 1,Treatment
DCTPepD0056,NCT01176474,A Phase I Trial of a Vaccine Combining Multiple Class I Peptides and Montanide ISA 51VG With Escalating Doses of Anti-PD-1 Antibody Nivolumab or Ipilimumab With Nivolumab For Patients With Resected Stages IIIC/ IV Melanoma,Melanoma (Skin),Phase 1,Treatment
DCTPepD0057,NCT00064220,"A Phase II Study of Intravenous TZT-1027, Administered Weekly Times Two, Every Three Weeks, to Patients With Advanced or Metastatic Soft Tissue Sarcomas (STS) With Prior Exposure to Anthracycline-Based Chemotherapy",Sarcoma,Phase 2,Treatment
DCTPepD0057,NCT00061854,"A Phase II Study Of Intravenous TZT-1027, Administered Weekly Times Two, Every Three Weeks, To Patients With Progressive Locally Advanced Or Metastatic Non-Small Cell Lung Cancer (NSCLC) Following Treatment With Platinum-Based Chemotherapy",Lung Cancer,Phase 2,Treatment
DCTPepD0057,NCT00072228,Phase I Study of Soblidotin and Gemcitabine in Patients With Locally Advanced or Metastatic Solid Tumors,"Unspecified Adult Solid Tumor, Protocol Specific",Phase 1,Treatment
DCTPepD0058,NCT01423760,An Open-label Trial to Collect Long-term Data on Subjects Following Participation in Previous EMD 531444 (L-BLP25 or BLP25 Liposome Vaccine) Clinical Trials,Non-Small Cell Lung Cancer; Multiple Myeloma,Not Applicable,Treatment
DCTPepD0058,NCT01496131,"A Randomized Phase II Study of Tecemotide in Combination With Standard Androgen Deprivation Therapy and Radiation Therapy for Untreated, Intermediate and High Risk Prostate Cancer Patients",Prostate Cancer,Phase 2,Treatment
DCTPepD0058,NCT00157196,"A Multi-center, Non-randomized, Open Label Safety Study of BLP25 Liposome Vaccine (L-BLP25) in Non-Small Cell Lung Cancer (NSCLC) Patients With Unresectable Stage III Disease","Carcinoma, Non-Small-Cell Lung; Lung Neoplasms",Phase 2,Treatment
DCTPepD0058,NCT01507103,"A Multi-center, Randomized, Open-label, Mechanism of Action Trial on the Biological Effects of the Therapeutic Cancer Vaccine Stimuvax® (L-BLP25) in Rectal Cancer Subjects Undergoing Neoadjuvant Chemoradiotherapy",Rectal Cancer,Phase 2,Treatment
DCTPepD0058,NCT00157209,"A Multicenter Phase IIb Randomised, Controlled Study of BLP25 Liposome Vaccine for Active Specific Immunotherapy of Non-Small Cell Lung Cancer","Lung Neoplasms; Carcinoma, Non-Small-Cell Lung",Phase 2,Treatment
DCTPepD0059,NCT02700529,"Ubenimex in Adult Patients With Lymphedema of The Lower Limb: a Phase 2, RAndomized, Double-blind, Placebo-controlled Study of Efficacy, Safety, and Pharmacokinetics (ULTRA)",Lymphedema,Phase 2,Treatment
DCTPepD0060,NCT00014651,"Vapreotide in Pancreas Surgery: A Double-Blind, Placebo-Controlled, Randomized Study of Vapreotide to Prevent Post-Surgical Complications in Patients Undergoing Elective Pancreatic Resection Grant Application Title: Vapreotide to Prevent Complications of Pancreatic Resection",Pancreatic Cancer; Perioperative/Postoperative Complications,Phase 3,Supportive Care
DCTPepD0060,NCT00331188,The Early Use of Sanvar® With Endoscopic Treatment for the Control of Acute Variceal Bleeding Due to Portal Hypertension,Esophageal Varices; Portal Hypertension; Gastric Varices; Esophageal Bleeding,Phase 3,Treatment
DCTPepD0061,NCT00113334,A Phase 1b/2 Study of ABT-510 (Thrombospondin Analogue) in Patients With Advanced Head and Neck Cancer,Head and Neck Cancer,Phase 1/2,Treatment
DCTPepD0061,NCT00584883,A Phase I Study of ABT 510 and Concurrent Temozolomide and Radiotherapy for Patients With Newly Diagnosed Glioblastoma Multiforme,Brain Tumor,Phase 1,Treatment
DCTPepD0061,NCT00073125,A Phase II Randomized Study Evaluating the Safety and Efficacy of ABT-510 in Subjects With Advanced Renal Cell Carcinoma,"Carcinoma, Renal Cell",Phase 2,Treatment
DCTPepD0061,NCT00061672,A Phase II Study Evaluating the Safety and Effectiveness of ABT-510 in Subjects With Refractory Lymphoma,"Lymphoma, Non-Hodgkin; Hodgkin's Lymphoma",Phase 2,Treatment
DCTPepD0061,NCT00061659,A Phase II Randomized Study Evaluating the Safety and Efficacy of ABT-510 in Subjects With Locally Advanced or Metastatic Soft Tissue Sarcoma,"Sarcoma, Soft Tissue",Phase 2,Treatment
DCTPepD0062,NCT00273936,A Phase I Trial of AVN-944 in Patients With Advanced Hematologic Malignancies,Acute Leukemia; Chronic Leukemia; Multiple Myeloma; Hodgkin's Lymphoma; Non-Hodgkin's Lymphoma; Waldenstrom's Macroglobulinemia,Phase 1,Treatment
DCTPepD0062,NCT00923728,"A Phase 1 Trial of AVN944, an IMPDH Inhibitor, in Adults With Advanced Stage Solid Tumors",Refractory Solid Tumors,Not Applicable,Treatment
DCTPepD0062,NCT00493441,A Phase II Study of AVN944 in Combination With Gemcitabine for the Treatment of Pancreatic Cancer,Pancreatic Cancer,Phase 2,Treatment
DCTPepD0063,NCT04461600,"A Phase 2, Multi-center, Open-label, Single Arm Study of AL101 Monotherapy in Patients With Notch Activated Triple Negative Breast Cancer",Triple Negative Breast Cancer,Phase 2,Treatment
DCTPepD0063,NCT03691207,"A Phase 2, Open-Label, Multi-center Study of AL101 in Patients With Adenoid Cystic Carcinoma (ACC) Bearing Activating Notch Mutations",Adenoid Cystic Carcinoma,Phase 2,Treatment
DCTPepD0063,NCT04973683,AL101 Prior to Standard-of-Care Surgery in Patients With Notch Activated Adenoid Cystic Carcinoma (ACC),Adenoid Cystic Carcinoma; Metastatic Adenoid Cystic Carcinoma,Phase 1,Treatment
DCTPepD0064,NCT00088166,"A Phase III Randomized, Double-Blind, Dexamethasone-Sparing Study Comparing Human Corticotropin-Releasing Factor (hCRF) to Placebo for Control of Symptoms Associated With Peritumoral Brain Edema in Patients With Malignant Brain Tumor Who Require Chronic Administration of High-Dose Dexamethasone",Brain Edema; Brain Tumor,Phase 3,Treatment
DCTPepD0065,NCT02636582,VADIS Trial: Phase II Trial of Nelipeimut-S Peptide Vaccine in Women With DCIS of the Breast,Breast Ductal Carcinoma In Situ,Phase 2,Prevention
DCTPepD0065,NCT02297698,Phase II Trial of Combination Immunotherapy With Nelipepimut-S + GM-CSF (NeuVax™) and Trastuzumab in High-risk HER2+ Breast Cancer Patients,Breast Cancer,Phase 2,Prevention
DCTPepD0065,NCT01479244,"PRESENT: Prevention of Recurrence in Early-Stage, Node-Positive Breast Cancer With Low to Intermediate HER2 Expressions With NeuVax™Treatment",Breast Cancer With Low to Intermediate HER2 Expression,Phase 3,Prevention
DCTPepD0065,NCT01570036,Combination Immunotherapy With Herceptin and the HER2 Vaccine E75 in Low and Intermediate HER2-expressing Breast Cancer Patients to Prevent Recurrence,Breast Cancer,Phase 2,Prevention
DCTPepD0066,NCT00118781,"Randomized, Double-Blind, Placebo-Controlled, Multinational Phase 3 Trial Of Iseganan In Prevention Of Ventilator-Associated Pneumonia",Pneumonia,Phase 2/3,Prevention
DCTPepD0066,NCT00022373,"A Multinational, Multicenter, Double-Blind, Placebo-Controlled, Randomized, Phase III Clinical Trial to Determine the Efficacy and Safety of IB-367 Rinse in Reducing the Severity of Oral Mucositis in Patients Receiving Radiotherapy for Head and Neck Malignancy",Head and Neck Cancer; Oral Complications of Radiation Therapy; Radiation Toxicity,Phase 3,Supportive Care
DCTPepD0067,NCT00005602,Phase I Study of Concurrent Cereport and Carboplatin With Radiation Therapy for Children With Newly-Diagnosed Brain Stem Gliomas,Brain and Central Nervous System Tumors,Phase 1,Treatment
DCTPepD0067,NCT00001502,Pediatric Phase I Trial of RMP-7 and Carboplatin in Brain Tumors,Brain Neoplasms; Glioma; Medulloblastoma,Phase 1,Treatment
DCTPepD0067,NCT00019422,A Phase II Trial of Intravenous Cereport (RMP-7) and Carboplatin in Childhood Brain Tumors,Brain and Central Nervous System Tumors,Phase 2,Treatment
DCTPepD0067,NCT00002316,Phase I Study to Evaluate the Safety and Tolerance of RMP-7 Administered With Amphotericin B to Patients With HIV Infection and Cryptococcal Meningitis,"Meningitis, Cryptococcal; HIV Infections",Phase 1,Treatment
DCTPepD0068,NCT00681486,"Ghrelin - A Possible Opportunity to Improve Appetite, Nutritional State, Metabolic Integrity and Physical Functioning in Cancer Patients With Progressive Weight Loss",Cancer,Phase 3,Treatment
DCTPepD0068,NCT00933361,Individual Dose-escalated Bi-daily sc Ghrelin in Cancer Cachexia: a Phase I/II Study,Advanced Cancer； Cachexia,Phase 1/2,Treatment
DCTPepD0068,NCT02913703,Effect of Preprandial Ghrelin on Postprandial Glucose Tolerance,Type 2 Diabetes,Phase 1,Basic Science
DCTPepD0069,NCT01777594,"A Phase II, Multicenter, Single-Arm Study of G-202 (Mipsagargin) as Second-Line Therapy Following Sorafenib for Adult Patients With Progressive Advanced Hepatocellular Carcinoma",Advanced Adult Hepatocellular Carcinoma,Phase 2,Treatment
DCTPepD0069,NCT02067156,"An Open-Label, Single-Arm, Phase II Study to Evaluate the Efficacy, Safety and CNS Exposure of G-202 (Mipsagargin) in Patients With Recurrent or Progressive Glioblastoma",Glioblastoma Multiforme,Phase 2,Treatment
DCTPepD0069,NCT01056029,"An Open Label, Single-Arm, Dose-Escalation Phase 1 Study of G-202 (Mipsagargin) in Patients With Advanced Solid Tumors",Advanced Solid Tumors,Phase 1,Treatment
DCTPepD0069,NCT02607553,"G-202-006: An Open-Label, Single-Arm, Phase II Study to Evaluate the Safety and Activity of G-202 in Patients With Clear Cell Renal Cell Carcinoma That Expresses PSMA",Clear Cell Renal Cell Carcinoma,Phase 2,Treatment
DCTPepD0069,NCT02381236,"G-202-005: An Open-Label, Single-Arm, Phase II Study to Evaluate the Safety and Activity of G-202 Administered in the Neoadjuvant Setting Followed by Radical Prostatectomy in Patients With Adenocarcinoma of the Prostate",Prostatic Neoplasms,Phase 2,Treatment
DCTPepD0070,NCT03785964,"A Randomized, Double-Blind, Placebo-Controlled, Phase 3 Trial of Nirogacestat Versus Placebo in Adult Patients With Progressing Desmoid Tumors/Aggressive Fibromatosis (DT/AF)",Desmoid Tumor; Aggressive Fibromatosis,Phase 3,Treatment
DCTPepD0070,NCT05348356,A Phase 2 Trial of Nirogacestat in Patients With Recurrent Ovarian Granulosa Cell Tumors,Ovarian Granulosa-Stromal Tumor; Ovarian Granulosa Cell Tumor; Ovarian Cancer,Phase 2,Treatment
DCTPepD0070,NCT05556798,Belantamab Mafodotin in Combination With Nirogacestat in Patients With Relapsed or Refractory Multiple Myeloma,Multiple Myeloma,Phase 1,Treatment
DCTPepD0071,NCT00427219,"A Randomized, Double-Blind, Placebo-Controlled Trial of the Safety and Efficacy of Ozarelix, in Patients With Lower Urinary Tract Symptoms(LUTS) Due to Benign Prostatic Hypertrophy (BPH)",Benign Prostatic Hypertrophy,Phase 2,Treatment
DCTPepD0071,NCT01252693,Phase 2 Study Assessing the Safety and Efficacy of a Monthly Dosing Regimen of Ozarelix Versus Goserelin Depot (Zoladex®) in Men With Prostate Cancer,Prostate Cancer,Phase 2,Treatment
DCTPepD0071,NCT00743184,"A Multi-Center, Randomized, Double-Blind, Placebo-Controlled Trial of the Safety and Efficacy of Ozarelix, in Patients With Lower Urinary Tract Symptoms (LUTS) Due to Benign Prostatic Hyperplasia (BPH)",Benign Prostatic Hyperplasia (BPH); Lower Urinary Tract Symptoms (LUTS),Phase 2,Treatment
DCTPepD0072,NCT03070964,A Phase II Study of Plitidepsin in Patients With Relapsed or Refractory Angioimmunoblastic T-cell Lymphoma,Lymphoma,Phase 2,Treatment
DCTPepD0072,NCT02100657,Phase I Study of Plitidepsin (Aplidin®) in Combination With Bortezomib and Dexamethasone in Patients With Relapsed and/or Refractory Multiple Myeloma,Multiple Myeloma,Phase 1,Other
DCTPepD0072,NCT01102426,"Randomized, Multicenter, Open-label, Phase III Study of Plitidepsin in Combination With Dexamethasone vs. Dexamethasone Alone in Patients With Relapsed/Refractory Multiple Myeloma",Relapsed/Refractory Multiple Myeloma,Phase 3,Treatment
DCTPepD0072,NCT01876043,"Efficacy and Safety of Plitidepsin in Patients With Advanced Unresectable or Metastatic, Relapsed/Refractory, Dedifferentiated Liposarcoma (DLPS): an Exploratory Phase II Multicenter Trial","Adult Patients With Unresectable Locally Advanced or Metastatic, Relapsed/Refractory Dedifferentiated Liposarcoma",Phase 2,Treatment
DCTPepD0072,NCT00788099,"Phase I Multicenter, Open-label, Clinical and Pharmacokinetic Study of Plitidepsin in Combination With Sorafenib or Gemcitabine in Patients With Advanced Solid Tumors or Lymphomas",Advanced Solid Tumors; Lymphomas,Phase 1,Treatment
DCTPepD0073,NCT02369796,"An Open-Label, Phase 2a Study to Evaluate the Pharmacodynamics of Different Dosing Regimens of TAK-448, a Kisspeptin Agonist, in Male Overweight/Obese Participants With Hypogonadotropic Hypogonadism",Hypogonadotropic Hypogonadism,Phase 2,Treatment
DCTPepD0073,NCT02381288,"A Randomized, Single-Blind, Placebo-Controlled Phase 2a Study to Evaluate the Stimulatory Effects of TAK-448, a Kisspeptin Analog, Administered Intermittently in Middle-aged and Older Men With Low Testosterone",Low Testosterone,Phase 2,Treatment
DCTPepD0073,NCT01132404,"A Phase 1/2, Open Label Study in Men With Prostate Cancer to Assess the Safety. Pharmacokinetics and Testosterone-Lowering Efficacy of TAK-448, Administered as a 1-Month Depot, Including a Randomized Portion With a Group Administered Leuprorelin",Prostate Cancer; Prostatic Neoplasms,Phase 1/2,Treatment
DCTPepD0074,NCT00458744,A Phase I Study Of Talotrexin (PT-523) In Children And Adolescents With Recurrent Solid Tumors Or Recurrent/Refractory Leukemias,"Brain and Central Nervous System Tumors; Leukemia; Lymphoma; Unspecified Childhood Solid Tumor, Protocol Specific",Phase 1,Treatment
DCTPepD0074,NCT00098514,A Phase I Study Of PT523 In Patients With Solid Tumors,"Unspecified Adult Solid Tumor, Protocol Specific",Phase 1,Treatment
DCTPepD0074,NCT00112060,"A Phase I/II, Open-Label, Multicenter Study of Single Agent PT-523 in the Treatment of Relapsed or Refractory Non-Small Cell Lung Cancer (NSCLC)",Non-Small-Cell Lung Carcinoma,Phase 1/2,Treatment
DCTPepD0075,NCT04693507,"An Adaptive Phase 2, Open-Label, Multicentre Study Investigating the Pharmacokinetics, Pharmacodynamics, Efficacy and Safety of Teverelix Trifluoroacetate, a GnRH Antagonist, in Participants With Advanced Prostate Cancer",Prostatic Adenoma,Phase 2,Treatment
DCTPepD0075,NCT03781947,"A Phase I, Open-label, Single Centre Study Investigating the PK, Safety and PD of a Single Dose of Teverelix TFA, a GnRH Antagonist, Via s.c. or i.m. Route of Administration in Healthy Male Volunteers",Healthy,Phase 1,Basic Science
DCTPepD0076,NCT01323517,A Phase II Trial of The Addition of Ipilimumab (MDX-010) To Isolated Limb Infusion (ILI) With Standard Melphalan and Dactinomycin In The Treatment of Advanced Unresectable Melanoma of The Extremity,Melanoma,Phase 2,Treatment
DCTPepD0076,NCT00003688,Pulse Actinomycin-D as Salvage Therapy for Failed Low Risk Gestational Trophoblastic Neoplasia,Gestational Trophoblastic Tumor,Phase 2,Treatment
DCTPepD0076,NCT00075582,"Vincristine, Dactinomycin, and Lower Doses of Cyclophosphamide With or Without Radiation Therapy for Patients With Newly Diagnosed Low-Risk Embryonal/Botryoid/Spindle Cell Rhabdomyosarcoma",Adult Rhabdomyosarcoma; Embryonal Childhood Rhabdomyosarcoma; Embryonal-botryoid Childhood Rhabdomyosarcoma; Previously Untreated Childhood Rhabdomyosarcoma,Phase 3,Treatment
DCTPepD0076,NCT00245089,Phase II Trial of VAC2.2/VA Therapy for Low-Risk B Group Patients With Rhabdomyosarcoma,Sarcoma,Phase 2,Treatment
DCTPepD0076,NCT00352534,Treatment for Very Low and Standard Risk Favorable Histology Wilms Tumor,Stage I Wilms Tumor; Stage II Wilms Tumor; Stage III Wilms Tumor,Phase 3,Treatment
DCTPepD0077,NCT00006466,Phase I/II Study to Assess the Safety and Efficacy of Low Doses of Beta LT in Patients With Myeloma,Multiple Myeloma and Plasma Cell Neoplasm; Precancerous Condition,Phase 1/2,Treatment
DCTPepD0077,NCT00007839,Phase I/II Study to Assess the Safety and Efficacy of Low Doses of Beta LT in Patients With B-Cell Lymphoma,Lymphoma,Phase 1/2,Treatment
DCTPepD0077,NCT00041379,Phase I/II Study to Assess the Safety and Efficacy of Low Doses of Beta LT in Patients With Waldenstrom's Macroglobulinemia,Lymphoma,Phase 1/2,Treatment
DCTPepD0078,NCT02440308,68Ga-DOTA-Bombesin PET/MRI in the Evaluation of Patients With Prostate Cancer: A Feasibility Study,Prostate Carcinoma,Phase 2,Diagnostic
DCTPepD0078,NCT03724253,Phase II Study of Preliminary Diagnostic Performance of [68Ga]-NeoBOMB1 in Adult Patients With Malignancies Known to Overexpress Gastrin Releasing Peptide Receptor (GRPR),Breast Cancer; Prostate Cancer; Colorectal Cancer; Non Small Cell Lung Cancer; Small Cell Lung Cancer,Phase 2,Diagnostic
DCTPepD0079,NCT01614990,Cancer Cachexia,Cancer Cachexia,Phase 2,Treatment
DCTPepD0079,NCT03844217,Copeptin After an Oral Stimulation With Macimorelin in Healthy Volunteers - The Macicop-Study,Polyuria-polydipsia Syndrome,Not Applicable,Diagnostic
DCTPepD0080,NCT00712829,"A Phase I Study Evaluating the Safety, Pharmacokinetics, Tissue Distribution, Metabolism of Small Molecule Inhibitors of Prostate Specific Membrane Antigen: Determination of I-123 Radiation Dosimetry for 123-I-MIP-1072 and 123-I-MIP-1095",Prostate Cancer,Phase 1,Diagnostic
DCTPepD0081,NCT00404521,"A Phase I Single-institution, Open-label, Dose-escalating, Clinical and Pharmacokinetic Study of PM02734 Administered Every 3 Weeks, Intravenously, Over 30 Minutes, to Subjects With Advanced Malignant Solid Tumors.",Solid Tumors,Phase 1,Treatment
DCTPepD0081,NCT00884845,"Phase I Multicenter, Open-label, Dose-escalating Clinical and Pharmacokinetic Trial of PM02734 Administered in Combination With Erlotinib in Patients With Advanced Malignant Solid Tumors",Advanced Malignant Solid Tumors,Phase 1,Treatment
DCTPepD0082,NCT00100347,A Phase 1 Dose Escalation Safety/Tolerance Study of PPI-2458 in Subjects With Non-Hodgkin's Lymphoma and Solid Tumors,Non-Hodgkin's Lymphoma; Solid Tumors,Phase 1,Treatment
DCTPepD0083,NCT01807546,"A Phase II Study of Oral Rigosertib in Patients With Relapsed or Metastatic, Platinum-resistant, Human Papillomavirus Positive or Negative Squamous Cell Carcinoma",Head and Neck Squamous Cell Carcinoma; Anal Squamous Cell Carcinoma; Lung Squamous Cell Carcinoma; Cervical Squamous Cell Carcinoma; Esophageal Squamous Cell Carcinoma; Skin Squamous Cell Carcinoma; Penile Squamous Cell Carcinoma,Phase 2,Treatment
DCTPepD0083,NCT04263090,A Phase1/2a Study of Rigosertib Plus Nivolumab in Stage IV Lung Adenocarcinoma Patients With KRAS Mutation Who Progressed on First-Line Treatment,Non-small Cell Lung Cancer; Adenocarcinoma; Stage IV,Phase 1/2,Treatment
DCTPepD0083,NCT02730884,A Phase II Single-Arm Study of the Efficacy and Safety of Oral Rigosertib in Patients With Myelofibrosis (MF) and Anemia,Leukemia; Myelofibrosis; Anemia; Splenomegaly,Phase 2,Treatment
DCTPepD0083,NCT01167166,"A Phase 1/2, Single Arm Study To Assess the Efficacy and Safety of Rigosertib (ON 01910.Na) Administered as 72-Hour and 120-Hour Continuous Intravenous Infusions Every Other Week for Two Cycles Then as Twice Daily Oral Capsules Given Continuously in Patients With Relapsed/Refractory Acute Myeloid or Lymphocytic Leukemia or Transformed Myeloproliferative Neoplasms",Acute Myelocytic Leukemia; Acute Lymphocytic Leukemia; Myeloproliferative Disease; Chronic Myeloid Leukemia,Phase 1/2,Treatment
DCTPepD0083,NCT01168011,"A Phase 1 Study To Assess The Tolerability, Pharmacokinetics and Clinical Activity of Rigosertib Administered Orally as Escalating Multiple Doses Twice or Three Times a Day up to 21 Days of a 21-Day Cycle in Patients With Advanced Cancer",Solid Tumor,Phase 1,Treatment
DCTPepD0084,NCT03512756,A Randomized Phase 2/3 Multi-Center Study of SM-88 in Subjects With Pancreatic Cancer Whose Disease Has Progressed or Recurred,Pancreatic Cancer,Phase 2/3,Treatment
DCTPepD0084,NCT03778996,"A Phase 2 Clinical Trial to Evaluate the Efficacy and Safety of SM-88 Used With Methoxsalen, Phenytoin, and Sirolimus (MPS) as Response Maintenance Therapy Following Standard Treatments for Patients With Ewing's Sarcoma or as Salvage Therapy for Patients With Clinically Advanced Sarcomas","Sarcoma, EwingSarcoma",Phase 2,Treatment
DCTPepD0085,NCT00083525,Urokinase-Plasminogen Activator (uPA) Inhibitor WX-UK1 in Combination With Capecitabine in Advanced Malignancies,Advanced Malignancies,Phase 1,Treatment
DCTPepD0086,NCT01767155,"Randomized Controlled Study Comparing AEZS-108 With Doxorubicin as Second Line Therapy for Locally Advanced, Recurrent or Metastatic Endometrial Cancer.",Endometrial Cancer,Phase 3,Treatment
DCTPepD0086,NCT01698281,"A Randomized Phase 2 Trial of AEZS-108 in Chemotherapy Refractory Triple Negative, LHRH-positive Metastatic Breast Cancer.",Breast Cancer,Phase 2,Treatment
DCTPepD0087,NCT00003207,Phase I Study on Doxil and SDZ PSC 833 in the Treatment of AIDS-Associated Kaposi's Sarcoma and Other Advanced Malignancies,"Sarcoma; Unspecified Adult Solid Tumor, Protocol Specific",Phase 1,Treatment
DCTPepD0087,NCT00002912,"A PHASE I COOPERATIVE AGREEMENT PEDIATRIC TRIAL OF MITOXANTRONE, ETOPOSIDE AND PSC-833 (PSC-ME) THERAPY IN PATIENTS WITH RELAPSED AND REFRACTORY ACUTE LEUKEMIA",Leukemia,Phase 1,Treatment
DCTPepD0087,NCT00001302,A Phase I Study of Infusional Chemotherapy With the P-Glycoprotein Antagonist PSC 833,Breast Cancer; Kidney Neoplasm; Lymphoma; Neoplasm Metastasis; Ovarian Cancer,Phase 1,Treatment
DCTPepD0087,NCT00002937,A Phase II Randomized Study of Paclitaxel Versus Paclitaxel + PSC833 for Advanced Breast Cancer (Recurring Less Than 6 Months Since Adjuvant or as Second Line for Advanced Disease,Breast Cancer,Phase 2,Treatment
DCTPepD0087,NCT00002878,"A PHASE III STUDY OF PSC-833 IN COMBINATION WITH VINCRISTINE, DOXORUBICIN AND DEXAMETHASONE (PSC-833/VAD) VERSUS VAD ALONE IN PATIENTS WITH RELAPSING OR REFRACTORY MULTIPLE MYELOMA",Multiple Myeloma and Plasma Cell Neoplasm,Phase 3,Treatment
DCTPepD0088,NCT01058616,Phase 1 Dose-escalation Study of LTX-315 in Patients With a Transdermally Accessible Tumour,Cancer With Transdermal Accessible Tumour,Phase 1,Treatment
DCTPepD0088,NCT01986426,"A Phase I, Open-label, Multi-arm, Multi-centre, Multi-dose, Dose Escalation Study of LTX-315 as Monotherapy or in Combination With Either Ipilimumab or Pembrolizumab in Patients With Transdermally Accessible Tumours",Cancer; Melanoma; Breast Cancer; Head and Neck Cancer; Lymphoma; Triple-Negative Breast Cancer,Phase 1,Treatment
DCTPepD0088,NCT01223209,"A Phase I, Combination, Immunologic Study of LTX-315 as Adjunct to GV1001 in Patients Following Curative Surgery for Carcinoma",Carcinoma,Phase 1,Treatment
DCTPepD0088,NCT04796194,A Phase II Study of Intratumoral Injection of LTX-315 in Combination With Pembrolizumab in Patients With Percutaneously Accessible Lesions With Advanced Melanoma Refractory to Pembrolizumab,Advanced Melanoma,Phase 2,Treatment
DCTPepD0088,NCT03725605,An Open Label Phase II Single Centre Study Investigating the Safety and Efficacy of LTX-315 and Adoptive T-cell Therapy in Patients With Advanced/Metastatic Soft Tissue Sarcoma (ATLAS-IT-04),Soft Tissue Sarcoma,Phase 2,Treatment
DCTPepD0089,NCT01267253,A Phase II Evaluation of Brivanib (BMS582664) in the Treatment of Persistent or Recurrent Carcinoma of the Cervix (BMS Study CA182-048),"Cervical Adenocarcinoma; Cervical Adenosquamous Carcinoma; Cervical Squamous Cell Carcinoma, Not Otherwise Specified; Persistent Disease; Recurrent Cervical Carcinoma",Phase 2,Treatment
DCTPepD0089,NCT04212221,"A Multicenter, Open-label, Phase I/II Dose Escalation and Expansion Clinical Study to Assess the Safety and Efficacy of MGD013 Monotherapy and in Combination With Brivanib Alaninate (ZL-2301) in Patients With Advanced Liver Cancer",Advanced Hepatocellular Carcinoma (HCC),Phase 1/2,Treatment
DCTPepD0089,NCT00437437,"Phase I Study to Determine the Effect of a High Fat Meal on the Pharmacokinetics of BMS-540215, the Active Metabolite of Brivanib Alaninate in Subjects With Advanced or Metastatic Solid Tumors",Tumors,Phase 1,Treatment
DCTPepD0089,NCT03516071,"A Multicenter, Randomized, Open-label, Phase II Clinical Study to Evaluate the Efficacy and Safety of Brivanib Alaninate (ZL-2301) Combined With Best Supportive Care (BSC) and Pharmacokinetic Profiles of Brivanib Alaninate in Patients With Advanced Hepatocellular Carcinoma (HCC) Failed or Intolerant of Standard Systemic Chemotherapy and/or Sorafenib",Hepatocellular Carcinoma (HCC),Phase 2,Treatment
DCTPepD0089,NCT03895788,"An Open-Label, Single-Arm, Phase I Clinical Trial to Evaluate the Safety and Tolerability of ZL-2306 (Niraparib) in Combination With Brivanib in Patients With Recurrent Ovarian Cancer",Ovarian Cancer,Phase 1,Treatment
DCTPepD0090,NCT02085460,"A Multicenter, Randomized, Double-blind, Placebo-controlled, Parallel-group Phase 2 Trial of Rebamipide Liquid to Determine the Effective Dose for Prevention of Chemoradiotherapy-induced Oral Mucositis in Patients With Head and Neck Cancer",Head and Neck Cancer,Phase 2,Treatment
DCTPepD0090,NCT02243618,The Effect of Proton Pump Inhibitor and Polaprezinc Combination Therapy for Healing of Endoscopic Submucosal Dissection-induced Ulcer,Gastric Adenoma; Early Gastric Cancer,Not Applicable,Treatment
DCTPepD0090,NCT03608761,"Comparison Between Rebamipide 2% Versus Autologous Serum in the Treatement of the Moderate to Severe Dry Eye Associate With Sjögren Syndrome. Pilot, Crossed, Controled, Randomized And Open Study",Dry Eye Syndromes; Sjögren Syndrome,Phase 4,Treatment
